Time (s) Run #1,Geiger Counts (counts/sample) Run #1,Geiger Counts (counts/sample) Run #2,Geiger Counts (counts/sample) Run #3
233,1,4,3
233.2,4,2,4
233.4,3,2,2
233.6,3,2,2
233.8,2,2,3
234,2,8,7
234.2,4,2,4
234.4,6,5,1
234.6,3,2,4
234.8,0,5,5
235,3,5,4
235.2,1,3,3
235.4,4,3,1
235.6,3,3,5
235.8,1,3,4
236,3,4,3
236.2,2,1,2
236.4,2,5,4
236.6,5,3,4
236.8,1,7,2
237,6,5,3
237.2,3,3,0
237.4,2,3,3
237.6,2,2,1
237.8,2,4,2
238,5,2,6
238.2,3,2,4
238.4,4,1,3
238.6,3,1,2
238.8,1,3,2
239,4,5,1
239.2,2,1,2
239.4,5,4,5
239.6,4,4,3
239.8,1,1,2
240,2,0,4
240.2,2,2,2
240.4,3,3,2
240.6,5,5,1
240.8,1,5,2
241,3,0,3
241.2,4,6,3
241.4,3,1,0
241.6,3,2,6
241.8,1,2,0
242,7,5,3
242.2,7,7,3
242.4,3,6,2
242.6,1,3,2
242.8,6,5,7
243,5,4,5
243.2,4,3,3
243.4,6,4,2
243.6,5,3,4
243.8,0,1,2
244,5,5,3
244.2,4,6,6
244.4,2,4,5
244.6,6,6,2
244.8,3,5,6
245,3,2,1
245.2,3,2,4
245.4,5,1,1
245.6,1,1,0
245.8,1,5,4
246,6,4,5
246.2,3,3,8
246.4,5,2,6
246.6,3,4,4
246.8,0,5,2
247,2,2,4
247.2,3,1,4
247.4,1,1,4
247.6,4,1,3
247.8,7,4,5
248,4,4,4
248.2,4,4,3
248.4,5,1,4
248.6,3,4,7
248.8,9,2,2
249,1,1,5
249.2,1,3,1
249.4,3,9,3
249.6,0,1,5
249.8,3,1,3
250,3,1,1
250.2,4,1,3
250.4,4,8,3
250.6,8,1,3
250.8,5,4,2
251,5,4,3
251.2,4,1,3
251.4,4,4,2
251.6,2,5,2
251.8,3,1,3
252,4,2,4
252.2,4,3,4
252.4,6,3,5
252.6,2,3,4
252.8,2,2,5
253,2,3,7
253.2,5,3,4
253.4,2,1,4
253.6,5,2,7
253.8,1,4,2
254,5,5,2
254.2,1,3,4
254.4,3,5,1
254.6,3,3,3
254.8,1,5,1
255,3,7,2
255.2,4,3,3
255.4,3,2,5
255.6,4,3,3
255.8,2,4,3
256,5,7,0
256.2,1,8,1
256.4,3,1,2
256.6,6,3,4
256.8,6,4,1
257,0,5,2
257.2,4,6,5
257.4,2,2,5
257.6,1,5,2
257.8,1,3,3
258,4,1,4
258.2,6,4,4
258.4,7,1,3
258.6,5,3,2
258.8,4,4,5
259,3,4,5
259.2,3,2,0
259.4,2,7,2
259.6,3,2,1
259.8,3,1,4
260,1,2,5
260.2,5,4,2
260.4,4,2,7
260.6,2,7,4
260.8,0,0,1
261,6,2,7
261.2,2,3,3
261.4,1,2,3
261.6,8,1,2
261.8,4,5,3
262,8,3,3
262.2,6,3,2
262.4,1,3,6
262.6,5,2,3
262.8,2,3,2
263,3,3,5
263.2,2,1,1
263.4,3,4,3
263.6,0,2,2
263.8,5,6,2
264,2,6,4
264.2,6,1,4
264.4,9,3,2
264.6,4,4,1
264.8,3,4,1
265,1,1,1
265.2,3,1,3
265.4,4,0,5
265.6,2,5,3
265.8,3,4,5
266,2,4,3
266.2,0,1,3
266.4,3,3,6
266.6,5,4,1
266.8,1,6,2
267,7,4,5
267.2,4,1,2
267.4,1,5,4
267.6,1,5,4
267.8,3,0,1
268,2,2,5
268.2,6,5,5
268.4,6,2,2
268.6,3,4,2
268.8,6,3,2
269,3,4,4
269.2,4,2,1
269.4,4,4,1
269.6,1,2,4
269.8,3,1,2
270,4,3,5
270.2,4,0,3
270.4,1,2,6
270.6,3,3,6
270.8,2,3,1
271,2,1,4
271.2,2,5,1
271.4,3,1,3
271.6,0,3,4
271.8,1,4,5
272,2,3,5
272.2,4,4,4
272.4,2,3,1
272.6,5,3,4
272.8,3,2,7
273,5,5,5
273.2,0,6,2
273.4,3,3,2
273.6,2,7,0
273.8,3,1,4
274,2,3,3
274.2,2,7,5
274.4,3,5,3
274.6,5,3,4
274.8,2,5,4
275,3,3,2
275.2,5,6,0
275.4,8,4,3
275.6,6,3,4
275.8,4,1,0
276,3,5,3
276.2,1,5,2
276.4,6,3,6
276.6,3,5,4
276.8,2,4,4
277,2,4,7
277.2,7,3,4
277.4,8,5,1
277.6,5,2,4
277.8,4,3,1
278,1,4,11
278.2,2,5,5
278.4,4,7,1
278.6,6,4,1
278.8,2,3,6
279,4,5,3
279.2,6,0,5
279.4,3,3,5
279.6,3,3,3
279.8,1,2,4
280,6,2,2
280.2,1,2,6
280.4,5,4,3
280.6,2,3,2
280.8,7,6,4
281,3,4,3
281.2,4,3,0
281.4,2,4,3
281.6,8,4,1
281.8,5,0,3
282,3,1,2
282.2,3,5,4
282.4,3,3,6
282.6,1,3,4
282.8,2,3,5
283,1,4,7
283.2,7,5,4
